omschrijving;mld_dat;Aantal
Haaglanden                    ;18/12/2020;2
Kempenland                    ;18/12/2020;11
Midden Limburg                ;18/12/2020;5
Midden Nederland              ;18/12/2020;8
Nijmegen                      ;18/12/2020;7
NOORD                         ;18/12/2020;3
Ondernemersgebied             ;18/12/2020;16
Oost Brabant                  ;18/12/2020;4
Rotterdam                     ;18/12/2020;4
Twente/Achterhoek             ;18/12/2020;1
Veluwe-IJssel                 ;18/12/2020;1
West Brabant/Zeeland          ;18/12/2020;7
Zuid Limburg                  ;18/12/2020;10
Arnhem                        ;17/12/2020;10
Breda                         ;17/12/2020;10
Den Bosch                     ;17/12/2020;5
Eindhoven                     ;17/12/2020;11
Haaglanden                    ;17/12/2020;2
Kempenland                    ;17/12/2020;6
Midden Limburg                ;17/12/2020;7
Midden Nederland              ;17/12/2020;7
Nijmegen                      ;17/12/2020;10
NOORD                         ;17/12/2020;6
Ondernemersgebied             ;17/12/2020;9
Oost Brabant                  ;17/12/2020;1
Rotterdam                     ;17/12/2020;5
Tilburg                       ;17/12/2020;9
Twente/Achterhoek             ;17/12/2020;6
Veluwe-IJssel                 ;17/12/2020;2
West Brabant/Zeeland          ;17/12/2020;10
Zuid Limburg                  ;17/12/2020;5
Arnhem                        ;16/12/2020;8
Breda                         ;16/12/2020;6
Den Bosch                     ;16/12/2020;2
Eindhoven                     ;16/12/2020;4
Haaglanden                    ;16/12/2020;2
Kempenland                    ;16/12/2020;4
Midden Limburg                ;16/12/2020;8
Midden Nederland              ;16/12/2020;9
Nijmegen                      ;16/12/2020;7
NOORD                         ;16/12/2020;4
Ondernemersgebied             ;16/12/2020;11
Oost Brabant                  ;16/12/2020;5
Rotterdam                     ;16/12/2020;3
Tilburg                       ;16/12/2020;13
Twente/Achterhoek             ;16/12/2020;6
Veluwe/Flevoland              ;16/12/2020;1
Veluwe-IJssel                 ;16/12/2020;3
West Brabant/Zeeland          ;16/12/2020;4
Zuid Limburg                  ;16/12/2020;8
Arnhem                        ;15/12/2020;4
Breda                         ;15/12/2020;8
Den Bosch                     ;15/12/2020;13
Eindhoven                     ;15/12/2020;5
Haaglanden                    ;15/12/2020;6
Kempenland                    ;15/12/2020;7
Midden Limburg                ;15/12/2020;2
Midden Nederland              ;15/12/2020;9
Nijmegen                      ;15/12/2020;4
NOORD                         ;15/12/2020;3
Ondernemersgebied             ;15/12/2020;5
Oost Brabant                  ;15/12/2020;6
Rotterdam                     ;15/12/2020;4
Tilburg                       ;15/12/2020;6
Twente/Achterhoek             ;15/12/2020;8
Veluwe-IJssel                 ;15/12/2020;5
West Brabant/Zeeland          ;15/12/2020;1
Zuid Limburg                  ;15/12/2020;5
Arnhem                        ;14/12/2020;5
Breda                         ;14/12/2020;5
Den Bosch                     ;14/12/2020;9
Eindhoven                     ;14/12/2020;4
Haaglanden                    ;14/12/2020;4
Kempenland                    ;14/12/2020;3
Midden Limburg                ;14/12/2020;7
Midden Nederland              ;14/12/2020;8
Nijmegen                      ;14/12/2020;4
NOORD                         ;14/12/2020;3
Ondernemersgebied             ;14/12/2020;15
Oost Brabant                  ;14/12/2020;6
Rotterdam                     ;14/12/2020;5
Tilburg                       ;14/12/2020;6
Twente/Achterhoek             ;14/12/2020;4
Veluwe-IJssel                 ;14/12/2020;3
West Brabant/Zeeland          ;14/12/2020;4
Zuid Limburg                  ;14/12/2020;4
Arnhem                        ;13/12/2020;4
Breda                         ;13/12/2020;8
Den Bosch                     ;13/12/2020;6
Eindhoven                     ;13/12/2020;11
Haaglanden                    ;13/12/2020;2
Kempenland                    ;13/12/2020;4
Midden Limburg                ;13/12/2020;5
Midden Nederland              ;13/12/2020;5
Nijmegen                      ;13/12/2020;2
