omschrijving;mld_dat;Aantal
Tilburg                       ;29/05/2019;5
Twente/Achterhoek             ;29/05/2019;2
West Brabant/Zeeland          ;29/05/2019;6
Zuid Limburg                  ;29/05/2019;8
Arnhem                        ;28/05/2019;8
Breda                         ;28/05/2019;8
Den Bosch                     ;28/05/2019;4
Eindhoven                     ;28/05/2019;2
Haaglanden                    ;28/05/2019;1
Kempenland                    ;28/05/2019;3
Midden Limburg                ;28/05/2019;1
Midden Nederland              ;28/05/2019;3
Nijmegen                      ;28/05/2019;5
NOORD                         ;28/05/2019;3
Ondernemersgebied             ;28/05/2019;13
Oost Brabant                  ;28/05/2019;1
Rotterdam                     ;28/05/2019;7
Tilburg                       ;28/05/2019;10
Twente/Achterhoek             ;28/05/2019;3
Veluwe/Flevoland              ;28/05/2019;1
West Brabant/Zeeland          ;28/05/2019;5
Zuid Limburg                  ;28/05/2019;6
Arnhem                        ;27/05/2019;3
Breda                         ;27/05/2019;3
Den Bosch                     ;27/05/2019;5
Eindhoven                     ;27/05/2019;2
Haaglanden                    ;27/05/2019;5
Kempenland                    ;27/05/2019;5
Midden Limburg                ;27/05/2019;1
Midden Nederland              ;27/05/2019;8
Nijmegen                      ;27/05/2019;3
NOORD                         ;27/05/2019;3
Ondernemersgebied             ;27/05/2019;5
Oost Brabant                  ;27/05/2019;4
Rotterdam                     ;27/05/2019;2
Tilburg                       ;27/05/2019;4
Twente/Achterhoek             ;27/05/2019;3
Veluwe/Flevoland              ;27/05/2019;6
West Brabant/Zeeland          ;27/05/2019;4
Zuid Limburg                  ;27/05/2019;6
Arnhem                        ;26/05/2019;1
Breda                         ;26/05/2019;1
Den Bosch                     ;26/05/2019;8
Eindhoven                     ;26/05/2019;5
Haaglanden                    ;26/05/2019;3
Kempenland                    ;26/05/2019;2
Midden Limburg                ;26/05/2019;4
Midden Nederland              ;26/05/2019;7
Nijmegen                      ;26/05/2019;4
NOORD                         ;26/05/2019;2
Ondernemersgebied             ;26/05/2019;10
Oost Brabant                  ;26/05/2019;5
Rotterdam                     ;26/05/2019;8
Tilburg                       ;26/05/2019;4
Twente/Achterhoek             ;26/05/2019;3
Veluwe/Flevoland              ;26/05/2019;3
West Brabant/Zeeland          ;26/05/2019;3
Zuid Limburg                  ;26/05/2019;1
Arnhem                        ;25/05/2019;5
Breda                         ;25/05/2019;1
Den Bosch                     ;25/05/2019;3
Eindhoven                     ;25/05/2019;6
Haaglanden                    ;25/05/2019;5
Kempenland                    ;25/05/2019;3
Midden Limburg                ;25/05/2019;5
Midden Nederland              ;25/05/2019;5
Nijmegen                      ;25/05/2019;6
NOORD                         ;25/05/2019;2
Ondernemersgebied             ;25/05/2019;8
Oost Brabant                  ;25/05/2019;2
Tilburg                       ;25/05/2019;2
Twente/Achterhoek             ;25/05/2019;2
Veluwe/Flevoland              ;25/05/2019;2
West Brabant/Zeeland          ;25/05/2019;3
Zuid Limburg                  ;25/05/2019;3
Arnhem                        ;24/05/2019;4
Breda                         ;24/05/2019;7
Den Bosch                     ;24/05/2019;5
Eindhoven                     ;24/05/2019;5
Haaglanden                    ;24/05/2019;3
Kempenland                    ;24/05/2019;4
Midden Limburg                ;24/05/2019;5
Midden Nederland              ;24/05/2019;4
Nijmegen                      ;24/05/2019;6
NOORD                         ;24/05/2019;5
Ondernemersgebied             ;24/05/2019;11
Oost Brabant                  ;24/05/2019;2
Rotterdam                     ;24/05/2019;2
Tilburg                       ;24/05/2019;4
Twente/Achterhoek             ;24/05/2019;4
Veluwe/Flevoland              ;24/05/2019;4
West Brabant/Zeeland          ;24/05/2019;1
Zuid Limburg                  ;24/05/2019;3
Arnhem                        ;23/05/2019;6
Breda                         ;23/05/2019;4
Den Bosch                     ;23/05/2019;3
Eindhoven                     ;23/05/2019;7
Haaglanden                    ;23/05/2019;1
Kempenland                    ;23/05/2019;4
Midden Limburg                ;23/05/2019;2
Midden Nederland              ;23/05/2019;4
Nijmegen                      ;23/05/2019;3
NOORD                         ;23/05/2019;3
Ondernemersgebied             ;23/05/2019;15
Oost Brabant                  ;23/05/2019;3
Rotterdam                     ;23/05/2019;5
Tilburg                       ;23/05/2019;9
Twente/Achterhoek             ;23/05/2019;5
Veluwe/Flevoland              ;23/05/2019;3
West Brabant/Zeeland          ;23/05/2019;7
Zuid Limburg                  ;23/05/2019;5
Arnhem                        ;22/05/2019;2
Breda                         ;22/05/2019;4
Den Bosch                     ;22/05/2019;5
Eindhoven                     ;22/05/2019;3
Haaglanden                    ;22/05/2019;5
Kempenland                    ;22/05/2019;5
Midden Limburg                ;22/05/2019;4
Midden Nederland              ;22/05/2019;5
Nijmegen                      ;22/05/2019;6
NOORD                         ;22/05/2019;4
Ondernemersgebied             ;22/05/2019;12
Oost Brabant                  ;22/05/2019;3
Rotterdam                     ;22/05/2019;5
Tilburg                       ;22/05/2019;5
Twente/Achterhoek             ;22/05/2019;4
Veluwe/Flevoland              ;22/05/2019;8
West Brabant/Zeeland          ;22/05/2019;2
Zuid Limburg                  ;22/05/2019;2
Arnhem                        ;21/05/2019;6
Breda                         ;21/05/2019;8
Den Bosch                     ;21/05/2019;4
Eindhoven                     ;21/05/2019;5
Haaglanden                    ;21/05/2019;1
Kempenland                    ;21/05/2019;3
Midden Limburg                ;21/05/2019;6
Midden Nederland              ;21/05/2019;5
Nijmegen                      ;21/05/2019;5
NOORD                         ;21/05/2019;3
Ondernemersgebied             ;21/05/2019;5
Oost Brabant                  ;21/05/2019;7
Rotterdam                     ;21/05/2019;5
Tilburg                       ;21/05/2019;8
Twente/Achterhoek             ;21/05/2019;4
Veluwe/Flevoland              ;21/05/2019;4
West Brabant/Zeeland          ;21/05/2019;5
Zuid Limburg                  ;21/05/2019;6
Arnhem                        ;20/05/2019;6
Breda                         ;20/05/2019;7
Den Bosch                     ;20/05/2019;3
Eindhoven                     ;20/05/2019;4
Haaglanden                    ;20/05/2019;4
Kempenland                    ;20/05/2019;4
Midden Limburg                ;20/05/2019;3
Midden Nederland              ;20/05/2019;3
Nijmegen                      ;20/05/2019;2
NOORD                         ;20/05/2019;3
Ondernemersgebied             ;20/05/2019;10
Oost Brabant                  ;20/05/2019;6
Rotterdam                     ;20/05/2019;3
Tilburg                       ;20/05/2019;4
Twente/Achterhoek             ;20/05/2019;4
Veluwe/Flevoland              ;20/05/2019;1
West Brabant/Zeeland          ;20/05/2019;4
Zuid Limburg                  ;20/05/2019;5
Arnhem                        ;19/05/2019;3
Breda                         ;19/05/2019;2
Den Bosch                     ;19/05/2019;5
Eindhoven                     ;19/05/2019;5
Haaglanden                    ;19/05/2019;4
Kempenland                    ;19/05/2019;2
Midden Limburg                ;19/05/2019;2
Midden Nederland              ;19/05/2019;2
Nijmegen                      ;19/05/2019;3
Ondernemersgebied             ;19/05/2019;7
Oost Brabant                  ;19/05/2019;1
Rotterdam                     ;19/05/2019;4
Tilburg                       ;19/05/2019;5
Twente/Achterhoek             ;19/05/2019;1
West Brabant/Zeeland          ;19/05/2019;6
Zuid Limburg                  ;19/05/2019;6
Arnhem                        ;18/05/2019;5
Breda                         ;18/05/2019;4
Den Bosch                     ;18/05/2019;6
Eindhoven                     ;18/05/2019;4
Kempenland                    ;18/05/2019;3
Midden Limburg                ;18/05/2019;4
Midden Nederland              ;18/05/2019;9
Nijmegen                      ;18/05/2019;3
NOORD                         ;18/05/2019;2
Ondernemersgebied             ;18/05/2019;6
Oost Brabant                  ;18/05/2019;4
Rotterdam                     ;18/05/2019;1
Tilburg                       ;18/05/2019;4
Twente/Achterhoek             ;18/05/2019;6
Veluwe/Flevoland              ;18/05/2019;1
West Brabant/Zeeland          ;18/05/2019;1
Zuid Limburg                  ;18/05/2019;6
Arnhem                        ;17/05/2019;7
Breda                         ;17/05/2019;6
Den Bosch                     ;17/05/2019;6
Eindhoven                     ;17/05/2019;5
Haaglanden                    ;17/05/2019;4
Kempenland                    ;17/05/2019;6
Midden Limburg                ;17/05/2019;1
Midden Nederland              ;17/05/2019;4
Nijmegen                      ;17/05/2019;6
Ondernemersgebied             ;17/05/2019;10
Oost Brabant                  ;17/05/2019;3
Rotterdam                     ;17/05/2019;5
Tilburg                       ;17/05/2019;4
Twente/Achterhoek             ;17/05/2019;1
West Brabant/Zeeland          ;17/05/2019;4
Zuid Limburg                  ;17/05/2019;5
Arnhem                        ;16/05/2019;3
Breda                         ;16/05/2019;8
Den Bosch                     ;16/05/2019;3
Eindhoven                     ;16/05/2019;5
Haaglanden                    ;16/05/2019;5
Kempenland                    ;16/05/2019;3
Midden Limburg                ;16/05/2019;5
Midden Nederland              ;16/05/2019;4
Nijmegen                      ;16/05/2019;7
NOORD                         ;16/05/2019;2
Ondernemersgebied             ;16/05/2019;11
Oost Brabant                  ;16/05/2019;4
Rotterdam                     ;16/05/2019;2
Tilburg                       ;16/05/2019;2
Twente/Achterhoek             ;16/05/2019;2
Veluwe/Flevoland              ;16/05/2019;6
West Brabant/Zeeland          ;16/05/2019;4
Zuid Limburg                  ;16/05/2019;5
Arnhem                        ;15/05/2019;6
Breda                         ;15/05/2019;3
Den Bosch                     ;15/05/2019;7
Eindhoven                     ;15/05/2019;5
Haaglanden                    ;15/05/2019;1
Kempenland                    ;15/05/2019;2
Midden Limburg                ;15/05/2019;3
Midden Nederland              ;15/05/2019;2
Nijmegen                      ;15/05/2019;9
NOORD                         ;15/05/2019;1
Ondernemersgebied             ;15/05/2019;12
Oost Brabant                  ;15/05/2019;2
Rotterdam                     ;15/05/2019;3
Tilburg                       ;15/05/2019;6
Twente/Achterhoek             ;15/05/2019;4
Veluwe/Flevoland              ;15/05/2019;3
West Brabant/Zeeland          ;15/05/2019;4
Zuid Limburg                  ;15/05/2019;5
Arnhem                        ;14/05/2019;2
Breda                         ;14/05/2019;1
Den Bosch                     ;14/05/2019;5
Eindhoven                     ;14/05/2019;4
Haaglanden                    ;14/05/2019;4
Kempenland                    ;14/05/2019;2
Midden Limburg                ;14/05/2019;2
Midden Nederland              ;14/05/2019;2
Nijmegen                      ;14/05/2019;10
NOORD                         ;14/05/2019;5
Ondernemersgebied             ;14/05/2019;9
Oost Brabant                  ;14/05/2019;5
Rotterdam                     ;14/05/2019;3
Tilburg                       ;14/05/2019;3
Twente/Achterhoek             ;14/05/2019;4
Veluwe/Flevoland              ;14/05/2019;3
West Brabant/Zeeland          ;14/05/2019;5
Zuid Limburg                  ;14/05/2019;2
Arnhem                        ;13/05/2019;7
Breda                         ;13/05/2019;5
Den Bosch                     ;13/05/2019;6
Eindhoven                     ;13/05/2019;5
Haaglanden                    ;13/05/2019;3
Kempenland                    ;13/05/2019;7
Midden Limburg                ;13/05/2019;4
Midden Nederland              ;13/05/2019;4
Nijmegen                      ;13/05/2019;3
Ondernemersgebied             ;13/05/2019;12
Oost Brabant                  ;13/05/2019;3
Rotterdam                     ;13/05/2019;1
Tilburg                       ;13/05/2019;5
Twente/Achterhoek             ;13/05/2019;5
Veluwe/Flevoland              ;13/05/2019;3
West Brabant/Zeeland          ;13/05/2019;1
Zuid Limburg                  ;13/05/2019;4
Arnhem                        ;12/05/2019;3
Breda                         ;12/05/2019;7
Eindhoven                     ;12/05/2019;3
Haaglanden                    ;12/05/2019;4
Kempenland                    ;12/05/2019;3
Midden Limburg                ;12/05/2019;2
Midden Nederland              ;12/05/2019;5
Nijmegen                      ;12/05/2019;4
NOORD                         ;12/05/2019;1
Ondernemersgebied             ;12/05/2019;9
Oost Brabant                  ;12/05/2019;4
Rotterdam                     ;12/05/2019;5
Tilburg                       ;12/05/2019;2
Twente/Achterhoek             ;12/05/2019;1
Veluwe/Flevoland              ;12/05/2019;2
West Brabant/Zeeland          ;12/05/2019;2
Zuid Limburg                  ;12/05/2019;4
Arnhem                        ;11/05/2019;4
Breda                         ;11/05/2019;10
Den Bosch                     ;11/05/2019;3
Eindhoven                     ;11/05/2019;6
Haaglanden                    ;11/05/2019;2
Kempenland                    ;11/05/2019;4
Midden Limburg                ;11/05/2019;1
Midden Nederland              ;11/05/2019;3
Nijmegen                      ;11/05/2019;6
NOORD                         ;11/05/2019;2
Ondernemersgebied             ;11/05/2019;4
Oost Brabant                  ;11/05/2019;4
Rotterdam                     ;11/05/2019;6
Tilburg                       ;11/05/2019;2
Twente/Achterhoek             ;11/05/2019;7
Veluwe/Flevoland              ;11/05/2019;2
West Brabant/Zeeland          ;11/05/2019;5
Zuid Limburg                  ;11/05/2019;3
Arnhem                        ;10/05/2019;6
Breda                         ;10/05/2019;2
Den Bosch                     ;10/05/2019;2
Eindhoven                     ;10/05/2019;3
Haaglanden                    ;10/05/2019;3
Kempenland                    ;10/05/2019;5
Midden Limburg                ;10/05/2019;7
Midden Nederland              ;10/05/2019;3
Nijmegen                      ;10/05/2019;6
Ondernemersgebied             ;10/05/2019;5
Oost Brabant                  ;10/05/2019;4
Rotterdam                     ;10/05/2019;3
Tilburg                       ;10/05/2019;3
Twente/Achterhoek             ;10/05/2019;2
Veluwe/Flevoland              ;10/05/2019;1
West Brabant/Zeeland          ;10/05/2019;5
Zuid Limburg                  ;10/05/2019;6
Arnhem                        ;09/05/2019;3
Breda                         ;09/05/2019;10
Den Bosch                     ;09/05/2019;4
Eindhoven                     ;09/05/2019;5
Haaglanden                    ;09/05/2019;4
Kempenland                    ;09/05/2019;7
Midden Limburg                ;09/05/2019;2
Midden Nederland              ;09/05/2019;4
Nijmegen                      ;09/05/2019;3
NOORD                         ;09/05/2019;2
Ondernemersgebied             ;09/05/2019;6
Oost Brabant                  ;09/05/2019;6
Rotterdam                     ;09/05/2019;3
Tilburg                       ;09/05/2019;4
Twente/Achterhoek             ;09/05/2019;6
Veluwe/Flevoland              ;09/05/2019;2
West Brabant/Zeeland          ;09/05/2019;6
Zuid Limburg                  ;09/05/2019;9
Arnhem                        ;08/05/2019;4
Breda                         ;08/05/2019;4
Den Bosch                     ;08/05/2019;5
Eindhoven                     ;08/05/2019;5
Haaglanden                    ;08/05/2019;3
Kempenland                    ;08/05/2019;3
Midden Limburg                ;08/05/2019;2
Midden Nederland              ;08/05/2019;3
Nijmegen                      ;08/05/2019;7
NOORD                         ;08/05/2019;1
Ondernemersgebied             ;08/05/2019;9
Oost Brabant                  ;08/05/2019;4
Rotterdam                     ;08/05/2019;5
Tilburg                       ;08/05/2019;10
Twente/Achterhoek             ;08/05/2019;6
Veluwe/Flevoland              ;08/05/2019;3
West Brabant/Zeeland          ;08/05/2019;9
Zuid Limburg                  ;08/05/2019;6
Arnhem                        ;07/05/2019;4
Breda                         ;07/05/2019;5
Den Bosch                     ;07/05/2019;6
Eindhoven                     ;07/05/2019;10
Haaglanden                    ;07/05/2019;2
Kempenland                    ;07/05/2019;4
Midden Limburg                ;07/05/2019;4
Midden Nederland              ;07/05/2019;2
Nijmegen                      ;07/05/2019;8
NOORD                         ;07/05/2019;3
Ondernemersgebied             ;07/05/2019;8
Oost Brabant                  ;07/05/2019;8
Rotterdam                     ;07/05/2019;6
Tilburg                       ;07/05/2019;5
Twente/Achterhoek             ;07/05/2019;5
Veluwe/Flevoland              ;07/05/2019;6
West Brabant/Zeeland          ;07/05/2019;2
Zuid Limburg                  ;07/05/2019;2
Arnhem                        ;06/05/2019;4
Breda                         ;06/05/2019;4
Den Bosch                     ;06/05/2019;6
Eindhoven                     ;06/05/2019;6
Haaglanden                    ;06/05/2019;3
Kempenland                    ;06/05/2019;4
Midden Limburg                ;06/05/2019;4
Midden Nederland              ;06/05/2019;2
Nijmegen                      ;06/05/2019;4
NOORD                         ;06/05/2019;2
Ondernemersgebied             ;06/05/2019;9
Oost Brabant                  ;06/05/2019;2
Rotterdam                     ;06/05/2019;1
Tilburg                       ;06/05/2019;8
Twente/Achterhoek             ;06/05/2019;5
Veluwe/Flevoland              ;06/05/2019;2
West Brabant/Zeeland          ;06/05/2019;2
Zuid Limburg                  ;06/05/2019;4
Arnhem                        ;05/05/2019;4
Breda                         ;05/05/2019;4
Den Bosch                     ;05/05/2019;2
Eindhoven                     ;05/05/2019;5
Haaglanden                    ;05/05/2019;3
Kempenland                    ;05/05/2019;3
Midden Limburg                ;05/05/2019;3
Nijmegen                      ;05/05/2019;3
Ondernemersgebied             ;05/05/2019;9
Oost Brabant                  ;05/05/2019;6
Rotterdam                     ;05/05/2019;4
Tilburg                       ;05/05/2019;1
Twente/Achterhoek             ;05/05/2019;5
Veluwe/Flevoland              ;05/05/2019;1
West Brabant/Zeeland          ;05/05/2019;3
Arnhem                        ;04/05/2019;2
Breda                         ;04/05/2019;2
Den Bosch                     ;04/05/2019;5
Eindhoven                     ;04/05/2019;2
Haaglanden                    ;04/05/2019;1
Kempenland                    ;04/05/2019;4
Midden Limburg                ;04/05/2019;3
Midden Nederland              ;04/05/2019;2
Nijmegen                      ;04/05/2019;4
NOORD                         ;04/05/2019;2
Ondernemersgebied             ;04/05/2019;8
Oost Brabant                  ;04/05/2019;7
Rotterdam                     ;04/05/2019;3
Tilburg                       ;04/05/2019;6
Twente/Achterhoek             ;04/05/2019;7
West Brabant/Zeeland          ;04/05/2019;3
Zuid Limburg                  ;04/05/2019;3
Arnhem                        ;03/05/2019;2
Breda                         ;03/05/2019;4
Den Bosch                     ;03/05/2019;5
Eindhoven                     ;03/05/2019;4
Haaglanden                    ;03/05/2019;7
Kempenland                    ;03/05/2019;4
Midden Limburg                ;03/05/2019;6
Midden Nederland              ;03/05/2019;6
Nijmegen                      ;03/05/2019;3
NOORD                         ;03/05/2019;5
Ondernemersgebied             ;03/05/2019;7
Oost Brabant                  ;03/05/2019;5
Rotterdam                     ;03/05/2019;5
Tilburg                       ;03/05/2019;3
Twente/Achterhoek             ;03/05/2019;2
Veluwe/Flevoland              ;03/05/2019;5
West Brabant/Zeeland          ;03/05/2019;5
Zuid Limburg                  ;03/05/2019;4
Arnhem                        ;02/05/2019;5
Breda                         ;02/05/2019;7
Den Bosch                     ;02/05/2019;7
Eindhoven                     ;02/05/2019;1
Haaglanden                    ;02/05/2019;6
Kempenland                    ;02/05/2019;5
Midden Limburg                ;02/05/2019;5
Midden Nederland              ;02/05/2019;2
Nijmegen                      ;02/05/2019;5
NOORD                         ;02/05/2019;1
Ondernemersgebied             ;02/05/2019;8
Oost Brabant                  ;02/05/2019;5
Rotterdam                     ;02/05/2019;6
Tilburg                       ;02/05/2019;5
Twente/Achterhoek             ;02/05/2019;1
Veluwe/Flevoland              ;02/05/2019;1
West Brabant/Zeeland          ;02/05/2019;2
Zuid Limburg                  ;02/05/2019;2
Arnhem                        ;01/05/2019;4
Breda                         ;01/05/2019;6
Den Bosch                     ;01/05/2019;3
Eindhoven                     ;01/05/2019;5
Haaglanden                    ;01/05/2019;2
Kempenland                    ;01/05/2019;9
Midden Limburg                ;01/05/2019;3
Midden Nederland              ;01/05/2019;6
Nijmegen                      ;01/05/2019;7
NOORD                         ;01/05/2019;1
Ondernemersgebied             ;01/05/2019;5
Oost Brabant                  ;01/05/2019;11
Rotterdam                     ;01/05/2019;4
Tilburg                       ;01/05/2019;3
Twente/Achterhoek             ;01/05/2019;6
Veluwe/Flevoland              ;01/05/2019;1
West Brabant/Zeeland          ;01/05/2019;6
Zuid Limburg                  ;01/05/2019;7
Arnhem                        ;30/04/2019;8
Breda                         ;30/04/2019;4
Den Bosch                     ;30/04/2019;8
Eindhoven                     ;30/04/2019;5
Haaglanden                    ;30/04/2019;3
Kempenland                    ;30/04/2019;5
Midden Limburg                ;30/04/2019;4
Midden Nederland              ;30/04/2019;2
Nijmegen                      ;30/04/2019;4
NOORD                         ;30/04/2019;2
Ondernemersgebied             ;30/04/2019;12
Oost Brabant                  ;30/04/2019;4
Rotterdam                     ;30/04/2019;4
Tilburg                       ;30/04/2019;2
Twente/Achterhoek             ;30/04/2019;5
Veluwe/Flevoland              ;30/04/2019;3
West Brabant/Zeeland          ;30/04/2019;4
Zuid Limburg                  ;30/04/2019;2
Arnhem                        ;29/04/2019;8
Breda                         ;29/04/2019;4
Den Bosch                     ;29/04/2019;5
Eindhoven                     ;29/04/2019;3
Kempenland                    ;29/04/2019;3
Midden Limburg                ;29/04/2019;5
Midden Nederland              ;29/04/2019;2
Nijmegen                      ;29/04/2019;3
NOORD                         ;29/04/2019;2
Ondernemersgebied             ;29/04/2019;11
Oost Brabant                  ;29/04/2019;11
Rotterdam                     ;29/04/2019;4
Tilburg                       ;29/04/2019;4
Twente/Achterhoek             ;29/04/2019;3
Veluwe/Flevoland              ;29/04/2019;5
West Brabant/Zeeland          ;29/04/2019;7
Zuid Limburg                  ;29/04/2019;3
Arnhem                        ;28/04/2019;5
Breda                         ;28/04/2019;1
Den Bosch                     ;28/04/2019;4
Eindhoven                     ;28/04/2019;5
Haaglanden                    ;28/04/2019;3
Kempenland                    ;28/04/2019;3
Midden Limburg                ;28/04/2019;1
Midden Nederland              ;28/04/2019;3
Nijmegen                      ;28/04/2019;1
NOORD                         ;28/04/2019;2
Ondernemersgebied             ;28/04/2019;7
Rotterdam                     ;28/04/2019;2
Tilburg                       ;28/04/2019;10
Twente/Achterhoek             ;28/04/2019;6
Veluwe/Flevoland              ;28/04/2019;1
West Brabant/Zeeland          ;28/04/2019;4
Zuid Limburg                  ;28/04/2019;2
Arnhem                        ;27/04/2019;5
Breda                         ;27/04/2019;7
Den Bosch                     ;27/04/2019;7
Eindhoven                     ;27/04/2019;2
Haaglanden                    ;27/04/2019;2
Kempenland                    ;27/04/2019;3
Midden Limburg                ;27/04/2019;3
Midden Nederland              ;27/04/2019;4
Nijmegen                      ;27/04/2019;1
NOORD                         ;27/04/2019;3
Ondernemersgebied             ;27/04/2019;15
Oost Brabant                  ;27/04/2019;4
Rotterdam                     ;27/04/2019;5
Tilburg                       ;27/04/2019;11
Twente/Achterhoek             ;27/04/2019;2
Veluwe/Flevoland              ;27/04/2019;5
West Brabant/Zeeland          ;27/04/2019;6
Zuid Limburg                  ;27/04/2019;7
Arnhem                        ;26/04/2019;6
Breda                         ;26/04/2019;8
Den Bosch                     ;26/04/2019;6
Eindhoven                     ;26/04/2019;5
Haaglanden                    ;26/04/2019;3
Kempenland                    ;26/04/2019;3
Midden Limburg                ;26/04/2019;4
Midden Nederland              ;26/04/2019;8
Nijmegen                      ;26/04/2019;5
NOORD                         ;26/04/2019;1
Ondernemersgebied             ;26/04/2019;8
Oost Brabant                  ;26/04/2019;3
Rotterdam                     ;26/04/2019;3
Tilburg                       ;26/04/2019;5
Twente/Achterhoek             ;26/04/2019;4
Veluwe/Flevoland              ;26/04/2019;1
West Brabant/Zeeland          ;26/04/2019;3
Zuid Limburg                  ;26/04/2019;3
Arnhem                        ;25/04/2019;9
Breda                         ;25/04/2019;5
Den Bosch                     ;25/04/2019;4
Eindhoven                     ;25/04/2019;5
Haaglanden                    ;25/04/2019;3
Kempenland                    ;25/04/2019;4
Midden Limburg                ;25/04/2019;2
Midden Nederland              ;25/04/2019;2
Nijmegen                      ;25/04/2019;5
NOORD                         ;25/04/2019;2
Ondernemersgebied             ;25/04/2019;9
Oost Brabant                  ;25/04/2019;5
Rotterdam                     ;25/04/2019;5
Tilburg                       ;25/04/2019;1
Twente/Achterhoek             ;25/04/2019;6
Veluwe/Flevoland              ;25/04/2019;3
West Brabant/Zeeland          ;25/04/2019;5
Zuid Limburg                  ;25/04/2019;5
Arnhem                        ;24/04/2019;3
Breda                         ;24/04/2019;8
Den Bosch                     ;24/04/2019;2
Eindhoven                     ;24/04/2019;2
Haaglanden                    ;24/04/2019;2
Kempenland                    ;24/04/2019;6
Midden Limburg                ;24/04/2019;3
Midden Nederland              ;24/04/2019;1
Nijmegen                      ;24/04/2019;7
NOORD                         ;24/04/2019;3
Ondernemersgebied             ;24/04/2019;10
Oost Brabant                  ;24/04/2019;5
Rotterdam                     ;24/04/2019;6
Tilburg                       ;24/04/2019;6
Twente/Achterhoek             ;24/04/2019;7
Veluwe/Flevoland              ;24/04/2019;1
West Brabant/Zeeland          ;24/04/2019;3
Zuid Limburg                  ;24/04/2019;3
Arnhem                        ;23/04/2019;6
Breda                         ;23/04/2019;7
Den Bosch                     ;23/04/2019;4
Eindhoven                     ;23/04/2019;10
Haaglanden                    ;23/04/2019;2
Kempenland                    ;23/04/2019;7
Midden Limburg                ;23/04/2019;6
Midden Nederland              ;23/04/2019;4
Nijmegen                      ;23/04/2019;8
NOORD                         ;23/04/2019;1
Ondernemersgebied             ;23/04/2019;10
Oost Brabant                  ;23/04/2019;2
Rotterdam                     ;23/04/2019;4
Tilburg                       ;23/04/2019;2
Twente/Achterhoek             ;23/04/2019;6
Veluwe/Flevoland              ;23/04/2019;6
West Brabant/Zeeland          ;23/04/2019;2
Zuid Limburg                  ;23/04/2019;11
Arnhem                        ;22/04/2019;3
Breda                         ;22/04/2019;8
Den Bosch                     ;22/04/2019;6
Eindhoven                     ;22/04/2019;3
Haaglanden                    ;22/04/2019;5
Kempenland                    ;22/04/2019;2
Midden Limburg                ;22/04/2019;5
Midden Nederland              ;22/04/2019;6
Nijmegen                      ;22/04/2019;9
NOORD                         ;22/04/2019;1
Ondernemersgebied             ;22/04/2019;11
Oost Brabant                  ;22/04/2019;1
Rotterdam                     ;22/04/2019;3
Tilburg                       ;22/04/2019;4
Twente/Achterhoek             ;22/04/2019;3
West Brabant/Zeeland          ;22/04/2019;3
Zuid Limburg                  ;22/04/2019;6
Arnhem                        ;21/04/2019;1
Breda                         ;21/04/2019;6
Den Bosch                     ;21/04/2019;3
Eindhoven                     ;21/04/2019;5
Haaglanden                    ;21/04/2019;5
Kempenland                    ;21/04/2019;4
Midden Limburg                ;21/04/2019;7
Midden Nederland              ;21/04/2019;1
Nijmegen                      ;21/04/2019;4
NOORD                         ;21/04/2019;1
Ondernemersgebied             ;21/04/2019;7
Rotterdam                     ;21/04/2019;3
Tilburg                       ;21/04/2019;3
Twente/Achterhoek             ;21/04/2019;6
Veluwe/Flevoland              ;21/04/2019;4
West Brabant/Zeeland          ;21/04/2019;6
Zuid Limburg                  ;21/04/2019;7
Arnhem                        ;20/04/2019;8
Breda                         ;20/04/2019;3
Den Bosch                     ;20/04/2019;2
Eindhoven                     ;20/04/2019;8
Haaglanden                    ;20/04/2019;5
Kempenland                    ;20/04/2019;8
Midden Limburg                ;20/04/2019;5
Midden Nederland              ;20/04/2019;7
Nijmegen                      ;20/04/2019;7
NOORD                         ;20/04/2019;2
Ondernemersgebied             ;20/04/2019;7
Oost Brabant                  ;20/04/2019;2
Rotterdam                     ;20/04/2019;3
Tilburg                       ;20/04/2019;4
Twente/Achterhoek             ;20/04/2019;1
Veluwe/Flevoland              ;20/04/2019;4
West Brabant/Zeeland          ;20/04/2019;6
Zuid Limburg                  ;20/04/2019;5
Arnhem                        ;19/04/2019;4
Breda                         ;19/04/2019;5
Den Bosch                     ;19/04/2019;6
Eindhoven                     ;19/04/2019;12
Haaglanden                    ;19/04/2019;1
Kempenland                    ;19/04/2019;4
Midden Limburg                ;19/04/2019;5
Midden Nederland              ;19/04/2019;4
Nijmegen                      ;19/04/2019;5
NOORD                         ;19/04/2019;1
Ondernemersgebied             ;19/04/2019;11
Oost Brabant                  ;19/04/2019;4
Rotterdam                     ;19/04/2019;7
Tilburg                       ;19/04/2019;3
Twente/Achterhoek             ;19/04/2019;4
Veluwe/Flevoland              ;19/04/2019;5
West Brabant/Zeeland          ;19/04/2019;2
Zuid Limburg                  ;19/04/2019;4
Arnhem                        ;18/04/2019;5
Breda                         ;18/04/2019;6
Den Bosch                     ;18/04/2019;6
Eindhoven                     ;18/04/2019;6
Kempenland                    ;18/04/2019;6
Midden Limburg                ;18/04/2019;2
Midden Nederland              ;18/04/2019;5
Nijmegen                      ;18/04/2019;5
Ondernemersgebied             ;18/04/2019;9
Oost Brabant                  ;18/04/2019;1
Rotterdam                     ;18/04/2019;3
Tilburg                       ;18/04/2019;5
